onset	duration	label	type	connector	trial	session	missing_timing_data	classification	comments
0	0	ecog_102		0	21	4	0		
0	0	ecog_102		0	22	4	0		
0	0	ecog_102		0	23	4	0		
0	0	ecog_102		0	24	4	0		
0	0	ecog_102		0	25	4	0		
0	0	ecog_102		0	26	4	0		
0	0	ecog_102		0	27	4	0		
0	0	ecog_102		0	28	4	0		
0	0	ecog_102		0	29	4	0		
0	0	ecog_102		0	30	4	0		
0	0	ecog_102		0	31	4	0		
0	0	ecog_102		0	32	4	0		
0	0	ecog_102		0	33	4	0		
0	0	ecog_102		0	34	4	0		
0	0	ecog_102		0	35	4	0		
0	0	ecog_102		0	36	4	0		
0	0	ecog_102		0	37	4	0		
0	0	ecog_102		0	38	4	0		
0	0	ecog_102		0	39	4	0		
0	0	ecog_102		0	40	4	0		
0	0	ecog_102		0	41	4	0		
0	0	ecog_102		0	42	4	0		
0	0	ecog_102		0	43	4	0		
0	0	ecog_102		0	44	4	0		
0	0	ecog_102		0	45	4	0		
0	0	ecog_102		0	46	4	0		
0	0	ecog_102		0	47	4	0		
0	0	ecog_102		0	48	4	0		
0	0	ecog_102		0	49	4	0		
0	0	ecog_102		0	50	4	0		
0	0	ecog_102		0	51	4	0		
0	0	ecog_102		0	52	4	0		
0	0	ecog_102		0	53	4	0		
0	0	ecog_102		0	54	4	0		
0	0	ecog_102		0	55	4	0		
0	0	ecog_102		0	56	4	0		
0	0	ecog_102		0	57	4	0		
0	0	ecog_102		0	58	4	0		
0	0	ecog_102		0	59	4	0		
0	0	ecog_102		0	60	4	0		
0	0	ecog_102		0	61	4	0		
0	0	ecog_102		0	62	4	0		
0	0	ecog_102		0	63	4	0		
0	0	ecog_102		0	64	4	0		
0	0	ecog_102		0	65	4	0		
0	0	ecog_102		0	66	4	0		
0	0	ecog_102		0	67	4	0		
0	0	ecog_102		0	68	4	0		
0	0	ecog_102		0	69	4	0		
0	0	ecog_102		0	70	4	0		
0	0	ecog_102		0	71	4	0		
0	0	ecog_102		0	72	4	0		
0	0	ecog_102		0	73	4	0		
0	0	ecog_102		0	74	4	0		
0	0	ecog_102		0	75	4	0		
0	0	ecog_102		0	76	4	0		
0	0	ecog_102		0	77	4	0		
0	0	ecog_102		0	78	4	0		
0	0	ecog_102		0	79	4	0		
0	0	ecog_102		0	80	4	0		
0	0	ecog_102		0	81	4	0		
0	0	ecog_102		0	82	4	0		
0	0	ecog_102		0	83	4	0		
0	0	ecog_102		0	84	4	0		
0	0	ecog_102		0	85	4	0		
0	0	ecog_102		0	86	4	0		
0	0	ecog_103		0	1	1	0		
0	0	ecog_103		0	2	1	0		
0	0	ecog_103		0	3	1	0		
0	0	ecog_103		0	4	1	0		
0	0	ecog_103		0	5	1	0		
0	0	ecog_103		0	6	1	0		
0	0	ecog_103		0	7	1	0		
0	0	ecog_103		0	8	1	0		
0	0	ecog_103		0	9	1	0		
0	0	ecog_103		0	10	1	0		
0	0	ecog_103		0	11	1	0		
0	0	ecog_103		0	12	1	0		
0	0	ecog_103		0	13	1	0		
0	0	ecog_103		0	14	1	0		
0	0	ecog_103		0	15	1	0		
0	0	ecog_103		0	16	1	0		
0	0	ecog_103		0	17	1	0		
0	0	ecog_103		0	18	1	0		
0	0	ecog_103		0	19	1	0		
0	0	ecog_103		0	20	1	0		
0	0	ecog_103		0	21	1	0		
0	0	ecog_103		0	22	1	0		
0	0	ecog_103		0	23	1	0		
0	0	ecog_103		0	24	1	0		
0	0	ecog_103		0	25	1	0		
0	0	ecog_103		0	26	1	0		
0	0	ecog_103		0	27	1	0		
0	0	ecog_103		0	28	1	0		
0	0	ecog_103		0	29	1	0		
0	0	ecog_103		0	30	1	0		
0	0	ecog_103		0	31	1	0		
0	0	ecog_103		0	32	1	0		
0	0	ecog_103		0	33	1	0		
0	0	ecog_103		0	34	1	0		
0	0	ecog_103		0	35	1	0		
0	0	ecog_103		0	36	1	0		
0	0	ecog_103		0	37	1	0		
0	0	ecog_103		0	38	1	0		
0	0	ecog_103		0	39	1	0		
0	0	ecog_103		0	40	1	0		
0	0	ecog_103		0	41	1	0		
0	0	ecog_103		0	42	1	0		
0	0	ecog_103		0	43	1	0		
0	0	ecog_103		0	44	1	0		
0	0	ecog_103		0	45	1	0		
0	0	ecog_103		0	46	1	0		
0	0	ecog_103		0	47	1	0		
0	0	ecog_103		0	48	1	0		
0	0	ecog_103		0	49	1	0		
0	0	ecog_103		0	50	1	0		
0	0	ecog_103		0	51	1	0		
